relative_hour,source_start_time_microseconds,source_end_time_microseconds,eligible_domain_count,complete_valid_domain_count,measured_power_util_unweighted_mean,measured_power_util_unweighted_median,peak_normalized_unweighted_mean
114,411000000000,414300000000,55,55,0.643113636364,0.654166666667,0.876866249775
115,414600000000,417900000000,55,55,0.635577272727,0.648083333333,0.866590642876
116,418200000000,421500000000,55,55,0.636583333333,0.6465,0.867962376487
117,421800000000,425100000000,55,55,0.646460606061,0.652333333333,0.881429743069
118,425400000000,428700000000,55,55,0.648863636364,0.646833333333,0.884706203169
119,429000000000,432300000000,55,55,0.647362121212,0.639583333333,0.882658932072
120,432600000000,435900000000,55,55,0.655234848485,0.654833333333,0.893393160751
121,436200000000,439500000000,55,55,0.658624242424,0.66075,0.898014498233
122,439800000000,443100000000,55,55,0.660842424242,0.671583333333,0.901038922941
123,443400000000,446700000000,55,55,0.672887878788,0.681333333333,0.917462540723
124,447000000000,450300000000,55,55,0.669577272727,0.679,0.912948628163
125,450600000000,453900000000,55,55,0.675433333333,0.701583333333,0.920933192028
126,454200000000,457500000000,55,55,0.681310606061,0.704833333333,0.928946677988
127,457800000000,461100000000,55,55,0.687615151515,0.70375,0.937542737559
128,461400000000,464700000000,55,55,0.689492424242,0.699083333333,0.940102342896
129,465000000000,468300000000,55,55,0.690851515152,0.69675,0.941955422789
130,468600000000,471900000000,55,55,0.705687878788,0.70675,0.962184361824
131,472200000000,475500000000,55,55,0.701460606061,0.704166666667,0.956420601621
132,475800000000,479100000000,55,55,0.703842424242,0.703333333333,0.959668139628
133,479400000000,482700000000,55,55,0.696321212121,0.686666666667,0.949413191367
134,483000000000,486300000000,55,55,0.681042424242,0.685666666667,0.928581020082
135,486600000000,489900000000,55,55,0.669133333333,0.678916666667,0.912343330049
136,490200000000,493500000000,55,55,0.658193939394,0.6755,0.897427792893
137,493800000000,497100000000,55,55,0.65695,0.666083333333,0.895731718654
138,497400000000,500700000000,55,55,0.655566666667,0.675333333333,0.893845584939
139,501000000000,504300000000,55,55,0.657575757576,0.671583333333,0.896584920433
140,504600000000,507900000000,55,55,0.655234848485,0.661833333333,0.893393160751
141,508200000000,511500000000,55,55,0.654945454545,0.662666666667,0.892998580752
142,511800000000,515100000000,55,55,0.653678787879,0.661833333333,0.891271518555
143,515400000000,518700000000,55,55,0.658977272727,0.6685,0.898495844515
144,519000000000,522300000000,55,55,0.661375757576,0.672666666667,0.901766107024
145,522600000000,525900000000,55,55,0.658518181818,0.665583333333,0.897869887762
146,526200000000,529500000000,55,55,0.656925757576,0.665666666667,0.895698664832
147,529800000000,533100000000,55,55,0.666945454545,0.675583333333,0.909360222617
148,533400000000,536700000000,55,55,0.680110606061,0.700583333333,0.927310513801
149,537000000000,540300000000,55,55,0.687492424242,0.701916666667,0.937375402585
150,540600000000,543900000000,55,55,0.689215151515,0.7085,0.939724289808
151,544200000000,547500000000,55,55,0.694354545455,0.7125,0.946731700061
152,547800000000,551100000000,55,55,0.695556060606,0.702416666667,0.948369930112
153,551400000000,554700000000,55,55,0.693557575758,0.699,0.945645055665
154,555000000000,558300000000,55,55,0.701804545455,0.706833333333,0.95688955272
155,558600000000,561900000000,55,55,0.699954545455,0.711,0.954367132932
156,562200000000,565500000000,55,54,0.692398148148,0.690041666667,0.944064210722
157,565800000000,569100000000,55,55,0.684716666667,0.685416666667,0.933590739972
158,569400000000,572700000000,55,55,0.682298484848,0.682166666667,0.930293621232
159,573000000000,576300000000,55,55,0.672825757576,0.67225,0.917377840305
160,576600000000,579900000000,55,55,0.662240909091,0.67375,0.902945715295
161,580200000000,583500000000,55,55,0.663645454545,0.678333333333,0.904860771104
162,583800000000,587100000000,55,55,0.657939393939,0.679333333333,0.897080727763
163,587400000000,590700000000,55,55,0.654828787879,0.670166666667,0.892839509233
164,591000000000,594300000000,55,55,0.657934848485,0.682666666667,0.897074530171
165,594600000000,597900000000,55,55,0.65073030303,0.661916666667,0.88725134746
166,598200000000,601500000000,55,55,0.652036363636,0.650083333333,0.889032122117
167,601800000000,605100000000,55,55,0.657107575758,0.656083333333,0.895946568497
168,605400000000,608700000000,55,55,0.657874242424,0.662416666667,0.896991895616
169,609000000000,612300000000,55,55,0.654992424242,0.671833333333,0.893062622532
170,612600000000,615900000000,55,55,0.658656060606,0.66875,0.898057881374
171,616200000000,619500000000,55,55,0.6692,0.675833333333,0.912434228059
172,619800000000,623100000000,55,55,0.679890909091,0.6965,0.92701096354
173,623400000000,626700000000,55,55,0.68881969697,0.706333333333,0.939185099337
174,627000000000,630300000000,55,55,0.688454545455,0.701916666667,0.938687226144
175,630600000000,633900000000,55,55,0.696596969697,0.707166666667,0.949789178592
176,634200000000,637500000000,55,55,0.699365151515,0.703416666667,0.953563511886
177,637800000000,641100000000,55,55,0.697645454545,0.6995,0.951218756391
178,641400000000,644700000000,55,55,0.6936,0.693333333333,0.945702899853
179,645000000000,648300000000,55,55,0.698822727273,0.696333333333,0.95282393262
180,648600000000,651900000000,55,55,0.70725,0.711166666667,0.964314267476
181,652200000000,655500000000,55,55,0.708533333333,0.7215,0.966064054175
182,655800000000,659100000000,55,55,0.700296969697,0.706583333333,0.954834018167
183,659400000000,662700000000,55,55,0.678284848485,0.6875,0.924821147835
184,663000000000,666300000000,55,55,0.667731818182,0.67875,0.910432405967
185,666600000000,669900000000,55,55,0.672651515152,0.695333333333,0.917140265959
186,670200000000,673500000000,55,55,0.670712121212,0.683916666667,0.914495960203
187,673800000000,677100000000,55,55,0.657104545455,0.67075,0.895942436769
188,677400000000,680700000000,55,55,0.655122727273,0.6875,0.893240286825
