candidate_group_id,candidate_key_json,candidate_group_size,source_obs_ids,postal_code,start_timestamp_local,restoration_timestamp_local,cause_category,normalized_cause_category_detail,cause_detail_complete,nerc_regions,multi_nerc,reported_duration_min,reported_duration_min_min,reported_duration_min_max,timestamp_duration_min,timestamp_duration_min_min,timestamp_duration_min_max,duration_delta_min,duration_delta_min_min,duration_delta_min_max,complete_temporal,timestamp_duration_nonnegative,reported_duration_positive,reported_duration_nonnegative,demand_loss_known,demand_loss_positive,demand_loss_zero,demand_loss_known_count,demand_loss_max_mw,demand_loss_min_mw,customers_known_count,customers_max,customers_min
210529f3f9a12282ce36d32cb7fc36e94a9fae5e2105eca324444d9605872d10,"[""AR"",""2012-09-07T00:00:00"",""21:30:00"",""2012-09-08T00:00:00"",""01:00:00"",""severe weather"",""thunderstorm""]",1,1291,AR,2012-09-07T21:30:00,2012-09-08T01:00:00,severe weather,thunderstorm,true,SERC,false,210,210,210,210,210,210,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,64951,64951
f122cfcfb2c271894c02002b98fef8091762a94c2cb57640b5ad5f084ad70e2f,"[""AR"",""2013-05-31T00:00:00"",""01:00:00"",""2013-05-31T00:00:00"",""01:30:00"",""severe weather"",""lightning""]",1,1294,AR,2013-05-31T01:00:00,2013-05-31T01:30:00,severe weather,lightning,true,SPP,false,30,30,30,30,30,30,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
52440454394ef386e4f0f456a1b40ef1111caa7fbfac70544b5dd9d4e5ac5298,"[""AR"",""2013-08-21T00:00:00"",""14:00:00"",""2013-08-21T00:00:00"",""14:01:00"",""intentional attack"",""sabotage""]",1,1292,AR,2013-08-21T14:00:00,2013-08-21T14:01:00,intentional attack,sabotage,true,SERC,false,1,1,1,1,1,1,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
cb397765ffbb53e59a29a10bda89cff7c751aac23e6bb4195bc19ab259f220d0,"[""AR"",""2013-09-29T00:00:00"",""00:00:00"",""2013-09-29T00:00:00"",""01:00:00"",""intentional attack"",""sabotage""]",1,1306,AR,2013-09-29T00:00:00,2013-09-29T01:00:00,intentional attack,sabotage,true,SERC,false,60,60,60,60,60,60,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
ee6f01bfefe60569bbc6caac596bf746c61514baf073367a40b72bb7cd0a9c37,"[""AR"",""2013-10-06T00:00:00"",""07:25:00"",""2013-10-06T00:00:00"",""09:15:00"",""intentional attack"",""__MISSING__""]",1,1308,AR,2013-10-06T07:25:00,2013-10-06T09:15:00,intentional attack,__MISSING__,false,SPP,false,110,110,110,110,110,110,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,9200,9200
d6dabf697a622494dc39e92f10bacf8b22d4fdc38dc901023e06dc24d8c46ec6,"[""AR"",""2013-10-11T00:00:00"",""14:30:00"",""2013-10-11T00:00:00"",""18:30:00"",""intentional attack"",""__MISSING__""]",1,1290,AR,2013-10-11T14:30:00,2013-10-11T18:30:00,intentional attack,__MISSING__,false,SERC,false,240,240,240,240,240,240,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
2714091d6862191ee19148119f9881983980c04eae16148a3c076c6a650d310b,"[""AR"",""2014-04-04T00:00:00"",""03:30:00"",""2014-04-04T00:00:00"",""08:15:00"",""severe weather"",""wind""]",1,1307,AR,2014-04-04T03:30:00,2014-04-04T08:15:00,severe weather,wind,true,SERC,false,285,285,285,285,285,285,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,1,57200,57200
3cc8fe3e88a7d9214f05733e81067c36cbb67a30b3c2e556f17ed037c097f09a,"[""AR"",""2015-07-14T00:00:00"",""15:29:00"",""2015-07-15T00:00:00"",""11:55:00"",""severe weather"",""uncontrolled loss""]",1,1296,AR,2015-07-14T15:29:00,2015-07-15T11:55:00,severe weather,uncontrolled loss,true,SPP,false,1226,1226,1226,1226,1226,1226,0,0,0,true,true,true,true,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
0b59d2a870ac0bb20a9c12bcb272be9e5f6aceae576edbc010087896b49fa0a0,"[""AR"",""2015-11-02T00:00:00"",""17:37:00"",""2015-11-04T00:00:00"",""09:00:00"",""intentional attack"",""sabotage""]",1,1310,AR,2015-11-02T17:37:00,2015-11-04T09:00:00,intentional attack,sabotage,true,SERC,false,2363,2363,2363,2363,2363,2363,0,0,0,true,true,true,true,true,true,false,1,4,4,0,__MISSING__,__MISSING__
86a2b5dac8c79ce8a426cb50bb96188e874b30cb5a5308d94593f6dc0e0f420c,"[""AZ"",""2000-05-31T00:00:00"",""01:15:00"",""__MISSING__"",""__MISSING__"",""intentional attack"",""vandalism""]",1,513,AZ,2000-05-31T01:15:00,__MISSING__,intentional attack,vandalism,true,WECC,false,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,__MISSING__,false,false,false,false,false,false,false,0,__MISSING__,__MISSING__,0,__MISSING__,__MISSING__
