cell_id,families,poi_bus,network_method,hourly_cfe_target,threshold_label,network_activation_threshold,business_recovery_headroom_mw,max_flexibility_budget_mw,seed,training_network_activation_rate,training_green_call_rate,training_joint_overlap_rate,holdout_network_activation_rate,holdout_green_call_rate,holdout_joint_overlap_rate,mean_effective_recovery_headroom_mw,grid_need_mw,correct_training_feasible,b6_training_feasible,correct_training_termination_condition,b6_training_termination_condition,correct_training_proven_infeasible,b6_training_proven_infeasible,correct_committed_flexibility_mw,b6_committed_flexibility_mw,correct_failure_probability,b6_failure_probability,correct_expected_shortfall_mwh,b6_expected_shortfall_mwh,delta_failure_probability,delta_expected_shortfall_mwh,flexibility_underprovisioning_mw,region,region_reason,scientific_region,gate_passed,security_certified
poi8_minimum_curtailment_a0.50_q95_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q95,0.9855289118330433,20.0,150.0,20260822,0.010416666666666666,0.6041666666666666,0.010416666666666666,0.3333333333333333,0.5416666666666666,0.22916666666666666,8.08927942449657,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q95_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q95,0.9855289118330433,40.0,150.0,20260822,0.010416666666666666,0.6041666666666666,0.010416666666666666,0.3333333333333333,0.5416666666666666,0.22916666666666666,15.338935598353727,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q95_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q95,0.9855289118330433,80.0,150.0,20260822,0.010416666666666666,0.6041666666666666,0.010416666666666666,0.3333333333333333,0.5416666666666666,0.22916666666666666,25.807252284196057,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.50_q99_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q99,0.9921054212765977,20.0,150.0,20260822,0.0,0.6041666666666666,0.0,0.22916666666666666,0.5416666666666666,0.1875,8.08927942449657,36.80000000000001,True,True,optimal,optimal,False,False,11.999999999999996,14.02175766693817,0.9999999999999999,0.9999999999999999,779.3910263219138,778.3801474884448,0.0,-1.0108788334690644,-2.021757666938173,diagnostic_mixed,metrics_are_not_order_consistent,False,True,False
poi8_minimum_curtailment_a0.50_q99_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q99,0.9921054212765977,40.0,150.0,20260822,0.0,0.6041666666666666,0.0,0.22916666666666666,0.5416666666666666,0.1875,15.338935598353727,36.80000000000001,True,True,optimal,optimal,False,False,24.223744231991596,24.22374423197543,0.9999999999999999,0.9999999999999999,773.9862402827243,773.9862402827298,0.0,5.4569682106375694e-12,1.616484723854228e-11,R3_common_insufficiency,both_policies_fail_equivalently_under_shared_execution,True,True,False
poi8_minimum_curtailment_a0.50_q99_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.5,q99,0.9921054212765977,80.0,150.0,20260822,0.0,0.6041666666666666,0.0,0.22916666666666666,0.5416666666666666,0.1875,25.807252284196057,36.80000000000001,True,True,optimal,optimal,False,False,45.5253420148437,45.52534201484156,0.9999999999999999,0.9999999999999999,766.8857076884403,766.885707688441,0.0,6.821210263296962e-13,2.1387336346379016e-12,R3_common_insufficiency,both_policies_fail_equivalently_under_shared_execution,True,True,False
poi8_minimum_curtailment_a0.70_q80_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q80,0.9708612624236891,20.0,150.0,20260822,0.052083333333333336,0.8229166666666666,0.052083333333333336,0.4166666666666667,0.9375,0.3541666666666667,1.9508766982171524,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q80_h40_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q80,0.9708612624236891,40.0,150.0,20260822,0.052083333333333336,0.8229166666666666,0.052083333333333336,0.4166666666666667,0.9375,0.3541666666666667,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q80_h80_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q80,0.9708612624236891,80.0,150.0,20260822,0.052083333333333336,0.8229166666666666,0.052083333333333336,0.4166666666666667,0.9375,0.3541666666666667,2.4858813903688364,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
poi8_minimum_curtailment_a0.70_q90_h20_b150_s20260822,primary_phase_surface,8,minimum_curtailment,0.7,q90,0.9805009394329972,20.0,150.0,20260822,0.010416666666666666,0.8229166666666666,0.010416666666666666,0.375,0.9375,0.3125,1.9508766982171524,36.80000000000001,False,False,infeasible,infeasible,True,True,,,0.0,0.0,0.0,0.0,,,,R3_common_insufficiency,both_training_models_proven_infeasible,True,True,False
