redispatch_fraction_pmax,state,kind,element_index,response_mode,branch_rating,evaluated,converged,secure,status,max_voltage_violation_pu,min_voltage_pu,max_branch_loading_fraction,max_loaded_branch_index,max_active_power_violation_mw,max_reactive_power_violation_mvar,max_target_deviation_mw,max_reference_redispatch_mw,total_up_redispatch_mw,total_down_redispatch_mw,ac_losses_mw,minimum_deviation_solved,economic_seed_used,dc_max_balance_residual_mw,remedial_action,remedial_parameter_status,post_remediation_secure,post_remediation_status,post_remediation_min_voltage_pu,post_remediation_max_loading_fraction
0.1,generator_1_sustained,generator,1,bounded,rate_a,True,True,True,secure,0.0,1.0085658032990445,0.9726091673423162,9,0.0,0.0,1.0253781293833981,39.999975342161974,165.69789780621562,142.05928904995477,39.8606078643179,True,True,1.1937117960769683e-12,,,True,secure,1.0085658032990445,0.9726091673423162
0.1,generator_2_sustained,generator,2,bounded,rate_a,True,True,True,secure,0.0,1.0068099114495181,0.994269051607887,9,0.0,0.0,1.0424894878370878,39.999997025216885,191.30672316603378,113.0831786725256,42.045544898829576,True,True,2.4442670110147446e-12,,,True,secure,1.0068099114495181,0.994269051607887
0.1,generator_3_sustained,generator,3,bounded,rate_a,True,True,True,secure,0.0,1.0067670447500972,0.9943865406618454,9,0.0,0.0,1.0424648756975046,39.999997198532185,191.32838027768977,113.06130191320179,42.089078769809475,True,True,8.29913915367797e-12,,,True,secure,1.0067670447500972,0.9943865406618454
0.1,generator_4_sustained,generator,4,bounded,rate_a,True,True,True,secure,0.0,1.008619171864771,0.9737602394154923,9,0.0,0.0,1.0253782440239831,39.999976060289384,165.0938840248772,141.48645385971167,39.829203679181774,True,True,3.0127011996228248e-12,,,True,secure,1.008619171864771,0.9737602394154923
0.1,generator_5_sustained,generator,5,bounded,rate_a,True,True,True,secure,0.0,1.0088145269832391,0.9751478268088436,9,0.0,0.0,1.0472720680151895,39.999977577852064,162.77588144115467,140.31085115913484,38.6868037960362,True,True,2.8848035071860068e-12,,,True,secure,1.0088145269832391,0.9751478268088436
0.1,generator_6_sustained,generator,6,bounded,rate_a,True,True,True,secure,0.0,1.007418067330556,0.999710697133142,9,0.0,0.0,1.0472752293852636,39.999973832972216,192.19916930253618,114.4105515453505,41.61039256807726,True,True,2.4442670110147446e-12,,,True,secure,1.007418067330556,0.999710697133142
0.1,generator_7_sustained,generator,7,bounded,rate_a,True,True,True,secure,0.0,1.007418067330556,0.9997106971331448,9,0.0,0.0,1.0472752293852636,39.999973832972216,192.19916930253726,114.41055154534946,41.61039256807953,True,True,2.4442670110147446e-12,,,True,secure,1.007418067330556,0.9997106971331448
0.1,generator_8_sustained,generator,8,bounded,rate_a,True,True,True,secure,0.0,0.9960613478837516,0.9533806667705935,9,0.0,0.0,1.2067818103879375,39.99999656914116,196.5275467395484,106.10255629717507,44.324719833724885,True,True,1.7621459846850485e-12,,,True,secure,0.9960613478837516,0.9533806667705935
0.1,generator_9_sustained,generator,9,bounded,rate_a,True,True,True,secure,0.0,0.9960047507490476,0.9517224734017845,9,0.0,0.0,1.243560030338756,39.99999404447499,192.61035065017285,101.54494174936822,44.9651382921561,True,True,1.1937117960769683e-12,,,True,secure,0.9960047507490476,0.9517224734017845
0.1,generator_10_sustained,generator,10,bounded,rate_a,True,True,True,secure,0.0,0.9961974073381547,0.95455705360776,9,0.0,0.0,1.0974327050239623,39.99999737602599,194.8527914113683,106.36284179533213,43.35061650295211,True,True,1.1937117960769683e-12,,,True,secure,0.9961974073381547,0.95455705360776
0.1,generator_11_sustained,generator,11,bounded,rate_a,True,True,True,secure,0.0,1.0083821306875154,0.9568592218947378,9,0.0,0.0,1.6532387338785668,39.999996984540644,234.6310645132894,48.93809489439599,40.634052332718056,True,True,1.5916157281026244e-12,,,True,secure,1.0083821306875154,0.9568592218947378
0.1,generator_12_sustained,generator,12,bounded,rate_a,True,True,True,secure,0.0,1.0085184775750462,0.9578089046322147,9,0.0,0.0,1.5348578877776191,39.9999968282803,235.211227654231,49.75783768391216,40.39447268414369,True,True,7.23332505003782e-12,,,True,secure,1.0085184775750462,0.9578089046322147
0.1,generator_13_sustained,generator,13,bounded,rate_a,True,True,True,secure,0.0,1.0083821306875156,0.9568592218947416,9,0.0,0.0,1.6532387338784957,39.999996984540644,234.63106451328923,48.93809489439646,40.6340523327176,True,True,1.5916157281026244e-12,,,True,secure,1.0083821306875156,0.9568592218947416
0.1,generator_15_sustained,generator,15,bounded,rate_a,True,True,True,secure,0.0,1.0086284545020807,0.9640828114304518,9,0.0,0.0,1.0253779643196594,39.99997458880068,158.698441816013,149.5665614818908,38.97773733809163,True,True,1.3073986337985843e-12,,,True,secure,1.0086284545020807,0.9640828114304518
0.1,generator_16_sustained,generator,16,bounded,rate_a,True,True,True,secure,0.0,1.0084816460858477,0.9636493598871363,9,0.0,0.0,1.042471080337691,39.99998027753128,160.0748199928259,151.3800689254645,38.54060807133055,True,True,2.2737367544323206e-12,,,True,secure,1.0084816460858477,0.9636493598871363
0.1,generator_17_sustained,generator,17,bounded,rate_a,True,True,True,secure,0.0,1.008628454502081,0.9640828114304503,9,0.0,0.0,1.0253779643196594,39.99997458880068,158.69844181601258,149.56656148189205,38.97773733808981,True,True,1.8189894035458565e-12,,,True,secure,1.008628454502081,0.9640828114304503
0.1,generator_18_sustained,generator,18,bounded,rate_a,True,True,True,secure,0.0,1.0086117934291634,0.9637870996547885,9,0.0,0.0,1.0253787965635581,39.99997360996065,160.17857524779342,151.18723613930445,38.83719611245806,True,True,4.121147867408581e-12,,,True,secure,1.0086117934291634,0.9637870996547885
0.1,generator_19_sustained,generator,19,bounded,rate_a,True,True,True,secure,0.0,1.0086284545020807,0.9640828114304518,9,0.0,0.0,1.0253779643196594,39.99997458880068,158.698441816013,149.5665614818908,38.97773733809163,True,True,1.3073986337985843e-12,,,True,secure,1.0086284545020807,0.9640828114304518
0.1,generator_20_sustained,generator,20,bounded,rate_a,True,True,True,secure,0.0,1.0022190787910958,0.9660882727536965,9,0.0,0.0,1.3049658145019407,39.99999666892535,215.87105087786372,69.78585296665179,38.83105651094502,True,True,1.2505552149377763e-12,,,True,secure,1.0022190787910958,0.9660882727536965
0.1,generator_21_sustained,generator,21,bounded,rate_a,True,True,True,secure,0.0,1.00662448075726,0.9656515906458575,9,0.0,0.0,1.0472715038241347,39.99998335894884,218.6740758313305,72.58069592499318,38.83926303721182,True,True,1.1937117960769683e-12,,,True,secure,1.00662448075726,0.9656515906458575
0.1,generator_22_sustained,generator,22,bounded,rate_a,True,False,False,not_converged_or_infeasible,,,,,,,,,,,,False,False,1.1084466677857563e-12,,,False,not_converged_or_infeasible,,
0.1,generator_23_sustained,generator,23,bounded,rate_a,True,False,False,not_converged_or_infeasible,,,,,,,,,,,,False,False,2.5579538487363607e-13,,,False,not_converged_or_infeasible,,
0.1,generator_24_sustained,generator,24,bounded,rate_a,True,True,True,secure,0.0,1.0102501901019303,0.9658645542161824,9,0.0,0.0,1.0253695781665897,39.999996766676475,174.2264032317127,124.70602241855698,36.81078434015399,True,True,1.2221335055073723e-12,,,True,secure,1.0102501901019303,0.9658645542161824
0.1,generator_25_sustained,generator,25,bounded,rate_a,True,True,True,secure,0.0,1.0100635953244064,0.9648101268925474,9,0.0,0.0,1.0424644033579114,39.99999749681285,178.49236863624162,128.7838033486618,36.99896881457789,True,True,1.1937117960769683e-12,,,True,secure,1.0100635953244064,0.9648101268925474
0.1,generator_26_sustained,generator,26,bounded,rate_a,True,True,True,secure,0.0,1.0100884298472035,0.9648445830242296,9,0.0,0.0,1.0253693627038558,39.999997435973626,178.5432946829164,128.75651126133016,37.07718694858431,True,True,3.979039320256561e-13,,,True,secure,1.0100884298472035,0.9648445830242296
0.1,generator_27_sustained,generator,27,bounded,rate_a,True,True,True,secure,0.0,1.0100974603763795,0.965654466406335,9,0.0,0.0,1.047269796688255,39.999983517466035,167.768739112465,119.15240369139025,35.90673894807287,True,True,5.400124791776761e-13,,,True,secure,1.0100974603763795,0.965654466406335
0.1,generator_28_sustained,generator,28,bounded,rate_a,True,True,True,secure,0.0,1.0102501901019305,0.9658645542161813,9,0.0,0.0,1.0253695781665897,39.999996766676475,174.22640323171112,124.70602241855434,36.810784340154896,True,True,2.6716406864579767e-12,,,True,secure,1.0102501901019305,0.9658645542161813
0.1,generator_29_sustained,generator,29,bounded,rate_a,True,True,True,secure,0.0,1.010088429847203,0.9648445830242286,9,0.0,0.0,1.0253693627038558,39.999997435973626,178.54329468291553,128.7565112613314,37.07718694858204,True,True,1.3216094885137863e-12,,,True,secure,1.010088429847203,0.9648445830242286
0.1,generator_30_sustained,generator,30,bounded,rate_a,True,True,True,secure,0.0,1.0095320299582826,0.9652102348908121,9,0.0,0.0,1.047264280493124,39.999999264010626,217.366903210954,73.60394923039384,36.52593218975289,True,True,1.8758328224066645e-12,,,True,secure,1.0095320299582826,0.9652102348908121
0.1,generator_31_sustained,generator,31,bounded,rate_a,True,True,True,secure,0.0,1.009608550401361,0.9662778206568321,9,0.0,0.0,1.0472668759573764,39.9999928312356,213.05397833400875,69.51959717517121,36.2973593680299,True,True,1.7621459846850485e-12,,,True,secure,1.009608550401361,0.9662778206568321
0.1,generator_32_sustained,generator,32,bounded,rate_a,True,False,False,not_converged_or_infeasible,,,,,,,,,,,,False,False,2.2168933355715126e-12,,,False,not_converged_or_infeasible,,
0.5,base,base,,base,rate_a,True,True,True,secure,0.0,1.00249458087322,0.9242486980932613,9,0.0,0.0,3.4218860723507802,3.4218860723507802,48.59658596362336,4.904849402009859e-05,48.596536915129946,True,True,1.1368683772161603e-12,,,True,secure,1.00249458087322,0.9242486980932613
0.5,branch_0_immediate,branch,0,fixed,rate_c,True,True,True,secure,0.0,1.0030801260391848,0.8171995444428275,9,0.0,0.0,0.008380046913437411,0.008380046913430306,0.11898698564693344,0.04615703392344983,48.66936686685358,True,True,7.958078640513122e-13,,,True,secure,1.0030801260391848,0.8171995444428275
0.5,branch_0_sustained,branch,0,bounded,rate_a,True,True,True,secure,0.0,0.9848638522989747,0.9999997827364553,9,0.0,0.0,0.8803906592327557,98.49999609686733,312.7510996499354,300.8268919753719,60.52074458969355,True,True,2.2737367544323206e-13,,,True,secure,0.9848638522989747,0.9999997827364553
0.5,branch_1_immediate,branch,1,fixed,rate_c,True,True,True,secure,0.0,0.9980410417050619,0.80908498102174,9,0.0,0.0,0.016474882530701507,0.0164748825306944,0.23380532136584442,0.027385367777881697,48.802956868717956,True,True,6.252776074688882e-13,,,True,secure,0.9980410417050619,0.80908498102174
0.5,branch_1_sustained,branch,1,bounded,rate_a,True,True,True,secure,0.0,0.9909731246109653,0.9999995806236696,9,0.0,0.0,0.9633225456809456,98.49999550895393,312.94727968039746,300.208959206785,61.33485738874242,True,True,1.8189894035458565e-12,,,True,secure,0.9909731246109653,0.9999995806236696
0.5,branch_2_immediate,branch,2,fixed,rate_c,True,True,True,secure,0.0,1.0087633916550471,0.794832102319223,9,0.0,0.0,0.21803138109894604,0.21803138109893894,3.0667766148920235,0.0,51.66331353002215,True,True,1.7053025658242404e-12,,,True,secure,1.0087633916550471,0.794832102319223
0.5,branch_2_sustained,branch,2,bounded,rate_a,True,True,True,secure,0.0,0.9999819797451004,0.9326926632828887,9,0.0,0.0,1.4773111837841775,98.49999869260071,252.98790154426445,238.93507851391064,62.649359945483866,True,True,3.694822225952521e-13,,,True,secure,0.9999819797451004,0.9326926632828887
0.5,branch_3_immediate,branch,3,fixed,rate_c,True,True,True,secure,0.0,0.9784070940481898,0.7980467541890198,9,0.0,0.0,0.17194896880928212,0.17194896880927502,2.4247078309961863,3.02250999197895e-05,51.021214521026195,True,True,1.2505552149377763e-12,,,True,secure,0.9784070940481898,0.7980467541890198
0.5,branch_3_sustained,branch,3,bounded,rate_a,True,True,True,secure,0.0,0.9734821623835063,0.9626727325173058,9,0.0,0.0,1.48460352635081,98.499997852077,252.993612564541,238.8762366712811,62.71391280838998,True,True,2.8421709430404007e-13,,,True,secure,0.9734821623835063,0.9626727325173058
0.5,branch_4_immediate,branch,4,fixed,rate_c,True,True,True,secure,0.0,1.008145467019938,0.9522681554453811,9,0.0,0.0,0.1517823274315262,0.1517823274315191,2.1416135327413865,2.9814177139542153e-05,50.73812063369451,True,True,3.637978807091713e-12,"{""branch_rating_overrides_mva"": {""9"": 255.0}}",benchmark_candidates_not_installed,True,secure,1.008145467019938,0.9522681554453811
0.5,branch_4_sustained,branch,4,bounded,rate_a,True,False,False,not_converged_or_infeasible,,,,,,,,,,,,False,False,7.389644451905042e-13,"{""branch_rating_overrides_mva"": {""9"": 255.0}}",benchmark_candidates_not_installed,True,secure,1.0002668450813925,0.7527394290981338
